,Cooling System 1 Flow,Fuel System 2  Injector Flow,Cooling System 2 Flow,Fuel System 1  Injector Flow,Fuel System 2  Service Flow,Fuel System 1  Service Flow,Fuel System 1  HP Relief Flow,Fuel System 2  HP Relief Flow
294,6.249,7.143,6.599,6.897,10.522,10.759,6.248,6.701
295,6.25,7.143,6.599,6.897,10.522,10.759,6.248,6.454
296,6.25,7.143,6.599,6.897,10.535,11.109,6.248,6.454
297,6.25,7.143,6.517,6.897,11.089,11.109,6.248,6.454
298,6.245,7.143,6.517,6.897,11.089,10.526,5.882,6.667
299,6.245,7.143,6.517,6.897,10.541,10.526,5.882,6.667
300,6.245,7.407,6.668,6.896,10.541,11.111,5.882,6.667
301,6.245,7.407,6.668,6.896,10.531,11.111,5.872,6.898
302,6.255,7.407,6.668,6.896,10.531,11.111,5.872,6.898
303,6.255,7.143,6.452,7.143,10.52,11.111,5.872,6.898
304,6.255,7.143,6.452,7.143,10.52,10.524,5.872,6.888
305,6.307,7.408,6.452,7.143,10.524,11.111,5.726,6.888
306,6.307,7.408,6.452,6.896,10.524,11.111,5.726,6.888
307,6.307,7.408,6.452,6.896,10.535,10.994,5.726,6.672
308,6.392,7.406,6.452,6.896,10.535,10.994,6.062,6.672
309,6.392,7.406,6.666,7.146,10.522,10.636,6.062,6.672
310,6.392,7.406,6.666,7.146,10.522,10.636,6.062,6.665
311,6.445,7.143,6.666,7.146,10.524,11.111,5.882,6.665
312,6.445,7.143,6.668,6.664,10.524,11.111,5.882,6.665
313,6.445,7.143,6.668,6.664,10.533,10.528,5.882,6.668
314,6.256,7.143,6.668,6.664,10.533,10.528,5.882,6.668
315,6.256,7.143,6.449,6.896,10.52,11.106,6.061,6.668
316,6.256,7.143,6.449,6.896,10.528,11.106,6.061,6.898
317,6.228,7.143,6.449,6.896,10.528,10.531,6.061,6.898
318,6.228,7.143,6.667,6.667,10.526,11.106,6.059,6.898
319,6.228,7.142,6.667,6.667,10.526,11.106,6.059,6.896
320,6.228,7.142,6.667,6.667,11.111,11.109,6.059,6.896
321,6.271,7.142,6.454,6.899,11.111,11.109,6.061,6.896
322,6.271,7.145,6.454,6.899,10.528,11.109,6.061,6.667
323,6.271,7.145,6.454,6.899,10.528,11.109,6.061,6.667
324,6.25,7.145,6.45,6.502,10.522,10.528,6.061,6.667
325,6.25,7.144,6.45,6.502,10.522,10.528,5.883,6.667
326,6.25,7.144,6.45,6.502,10.524,11.109,5.883,6.667
327,6.45,7.144,6.667,6.835,10.524,11.109,5.883,6.667
328,6.45,7.141,6.667,6.835,10.535,10.526,6.06,6.665
329,6.45,7.141,6.667,6.835,10.535,11.111,6.06,6.665
330,6.252,6.897,6.452,6.898,10.526,11.111,6.06,6.665
